IM240_0,v,a,times,target
IM240_1,20.344,0.132,0.09,1
IM240_2,33.654,0.435,0,1
UDDS_0,41.272,0.854,0.02,2
UDDS_1,18.188,0.307,0.2,1
UDDS_2,14.943,0.128,0.39,1
UDDS_3,52.342,0.051,0,2
UDDS_4,22.587,0.486,0.18,1
UDDS_5,20.992,0.103,0.21,1
UDDS_6,13.057,0.117,0.23,1
UDDS_7,10.356,0.074,0.4,0
UDDS_8,19.241,0.139,0.01,1
UDDS_9,28.039,0.019,0,1
UDDS_10,21.976,0.026,0.03,1
UDDS_11,11.854,0.239,0.31,0
UDDS_12,12.59,0.097,0.26,0
UDDS_13,15.344,0.192,0.08,1
FTPCOL_0,9.717,0.426,0.28,0
FTPCOL_1,18.188,0.307,0.2,1
FTPCOL_2,14.943,0.128,0.39,1
FTPCOL_3,52.342,0.051,0,2
FTPCOL_4,22.587,0.486,0.18,1
FTPCOL_5,20.992,0.103,0.21,1
FTPCOL_6,13.057,0.117,0.23,1
FTPCOL_7,10.356,0.074,0.4,0
FTPCOL_8,19.241,0.139,0.01,1
FTPCOL_9,28.039,0.019,0,1
FTPCOL_10,21.976,0.026,0.03,1
FTPCOL_11,11.854,0.239,0.31,0
FTPCOL_12,12.59,0.097,0.26,0
FTPCOL_13,15.344,0.192,0.08,1
FTPCOL_14,8.309,0.065,0.48,0
FTPCOL_15,22.63,0.225,0.07,1
FTPCOL_16,24.218,0.546,0.32,1
FTPCOL_17,46.339,0.532,0,2
FTPCOL_18,18.35,0.014,0.23,1
US06_0,21.805,0,0.17,1
US06_1,35.967,0.637,0.13,2
US06_2,44.246,0.006,0.08,2
US06_3,64.079,0.095,0,2
US06_4,71.482,0.017,0,3
US06_5,54.773,0.707,0.08,2
SC03_0,17.74,0.002,0.15,1
SC03_1,12.3,0.294,0.25,0
SC03_2,23.497,0.294,0.15,1
SC03_3,20.207,0.437,0.28,1
SC03_4,29.546,0.074,0.21,1
SC03_5,31.899,0.071,0,1
HUDDS_0,11.413,0.295,0.27,0
HUDDS_1,10.534,0.31,0.24,0
HUDDS_2,8.312,0.31,0.64,0
HUDDS_3,0.363,0.006,0.89,0
HUDDS_4,10.074,0.183,0.08,0
HUDDS_5,30.715,0.057,0,1
HUDDS_6,19.806,0.329,0.33,1
HUDDS_7,51.121,0.085,0,2
HUDDS_8,49.635,0.484,0,2
HUDDS_9,8.934,0.178,0.26,0
HUDDS_10,10.008,0.238,0.6,0
LA92_0,0.615,0,0.48,0
LA92_1,8.192,0.265,0.41,0
LA92_2,21.095,0.142,0.17,1
LA92_3,13.407,0.407,0.33,1
LA92_4,33.253,0.564,0.21,1
LA92_5,55.494,0.272,0,2
LA92_6,12.142,0.058,0.29,0
LA92_7,28.806,0.05,0,1
LA92_8,13.705,0.027,0.3,1
LA92_9,31.214,0.4,0.01,1
LA92_10,43.207,0.369,0.03,2
LA92_11,15.445,0.069,0.15,1
LA92_12,22.401,0.192,0.09,1
LA92_13,23.681,0.449,0.23,1
LA92_14,28.514,0.353,0.01,1
LA92S_0,8.063,0.362,0.1,0
LA92S_1,8.192,0.265,0.41,0
LA92S_2,21.095,0.142,0.17,1
LA92S_3,13.407,0.407,0.33,1
LA92S_4,33.253,0.564,0.21,1
LA92S_5,55.494,0.272,0,2
LA92S_6,12.142,0.058,0.29,0
LA92S_7,28.806,0.05,0,1
LA92S_8,13.705,0.027,0.3,1
LA92S_9,31.214,0.4,0.01,1
NEDC_0,49.788,0.866,0.04,2
NEDC_1,13.236,0,0.38,1
NEDC_2,22.552,0,0.3,1
NEDC_3,13.236,0,0.38,1
NEDC_4,22.552,0,0.3,1
NEDC_5,13.236,0,0.38,1
NEDC_6,22.59,0.075,0.29,1
NEDC_7,13.198,0.075,0.39,1
NEDC_8,22.552,0,0.3,1
NEDC_9,54.301,0.55,0.04,2
NEDC_10,54.475,0.15,0,2
NEDC_11,84.4,0.31,0,3
ECECOL_0,68.097,0.717,0.21,3
ECECOL_1,13.236,0,0.38,1
EUDC_0,23.739,0,0.25,1
EUDC_1,43.476,0.7,0.2,2
EUDC_2,54.1,0,0,2
EUDC_3,79.6,0.3,0,3
EUDCL_0,73.202,0.81,0.21,3
EUDCL_1,43.476,0.7,0.2,2
EUDCL_2,54.1,0,0,2
EUDCL_3,77.5,0.2,0,3
JPN10_0,62.852,0.909,0.21,2
JPN10_1,15.38,0.26,0.37,1
JPN15_0,24.343,0.765,0.01,1
JPN15_1,12.9,0.4,0.65,0
JPN15_2,59.604,0.1,0,2
J1015_0,18.548,0.667,0.11,1
J1015_1,12.9,0.4,0.65,0
J1015_2,59.604,0.1,0,2
J1015_3,9.978,0.414,0.55,0
J1015_4,19.672,0.086,0.28,1
J1015_5,17.667,0.283,0.27,1
J1015_6,12.205,0.031,0.38,0
J1015_7,17.928,0.314,0.41,1
J1015_8,35.404,0.7,0.25,2
WLTP_0,47.088,0.778,0.11,2
WLTP_1,22.106,0,0.13,1
WLTP_2,13.716,0.14,0.37,1
WLTP_3,37.719,0.331,0,2
WLTP_4,21.874,0.215,0.06,1
WLTP_5,8.745,0.256,0.56,0
WLTP_6,7.243,0.01,0.48,0
WLTP_7,36.931,0.202,0,2
WLTP_8,38.823,0.201,0,2
WLTP_9,55.954,0.196,0,2
WLTP_10,39.504,0.609,0.15,2
WLTP_11,31.187,0.589,0.26,1
WLTP_12,53.432,0.279,0,2
WLTP_13,91.836,0.089,0,3
WLTP_14,66.464,0.288,0,3
WLTP_15,20.356,0.022,0.27,1
WLTP_16,90.618,0.582,0,3
WLTP_17,106.666,0.188,0,3
ARB02_0,84.412,0.696,0.06,3
ARB02_1,23.479,0.438,0.15,1
ARB02_2,22.402,0.438,0.11,1
ARB02_3,21.173,0.33,0.14,1
ARB02_4,20.252,0.315,0.15,1
ARB02_5,24.238,0.008,0.1,1
ARB02_6,17.571,0.023,0.25,1
ARB02_7,54.759,0.562,0.02,2
ARB02_8,45.367,0.031,0.05,2
ARB02_9,63.954,0.201,0,2
ARB02_10,46.676,0.357,0.05,2
ARB02_11,76.008,0.018,0,3
ARB02_12,40.385,0.255,0,2
ARB02_13,47.092,0.084,0.05,2
ARB02_14,62.31,0.062,0,2
ARB02_15,70.78,0.084,0,3
ARB02_16,68.147,0.084,0,3
ARTERIAL_0,23.461,0.637,0.15,1
ARTERIAL_1,19.716,0.249,0.26,1
ARTERIAL_2,29.766,0.151,0.07,1
CBDTRUCK_0,24.791,0.444,0.14,1
CBDTRUCK_1,7.218,0.15,0.3,0
CBDTRUCK_2,9.634,0.132,0.2,0
CBDTRUCK_3,10.838,0.076,0.1,0
CBDTRUCK_4,7.9,0.068,0.21,0
CBDTRUCK_5,9.371,0.129,0.2,0
CBDTRUCK_6,10.969,0.034,0.1,0
CBDTRUCK_7,8.056,0.107,0.21,0
CBDTRUCK_8,9.114,0.126,0.2,0
COMUTER_0,10.974,0.098,0.06,0
COMUTER_1,32.345,0.544,0.19,1
COMUTER_2,54.968,0.006,0,2
COMUTER_3,54.812,0.152,0,2
NYCTRUCK_0,4.056,0.812,0.4,0
NYCTRUCK_1,0.377,0,0.86,0
NYCTRUCK_2,7.205,0.094,0.4,0
NYCTRUCK_3,11.631,0.094,0.5,0
NYCTRUCK_4,0.539,0.089,0.82,0
NYCTRUCK_5,18.576,0.035,0,1
NYCTRUCK_6,0.44,0.037,0.86,0
NYCTRUCK_7,6.456,0.067,0.46,0
NYCTRUCK_8,12.401,0.084,0.42,0
NYCTRUCK_9,0.369,0,0.88,0
NYCTRUCK_10,17.517,0.234,0.02,1
MANHATTAN_0,8.192,0.559,0.06,0
MANHATTAN_1,6.945,0,0.37,0
MANHATTAN_2,6.336,0.072,0.33,0
MANHATTAN_3,6.855,0.089,0.38,0
MANHATTAN_4,6.297,0.075,0.37,0
MANHATTAN_5,6.565,0.07,0.37,0
MANHATTAN_6,8.008,0.097,0.39,0
MANHATTAN_7,6.403,0.009,0.4,0
MANHATTAN_8,7.439,0.068,0.2,0
MANHATTAN_9,6.854,0,0.43,0
MANHATTAN_10,5.926,0,0.33,0
NurembergR36_0,7.568,0,0.36,0
NurembergR36_1,2.999,0.004,0.46,0
NurembergR36_2,5.105,0.109,0.33,0
NurembergR36_3,6.14,0.122,0.29,0
NurembergR36_4,9.418,0.05,0.31,0
NurembergR36_5,9.374,0.072,0.16,0
NurembergR36_6,5.952,0.123,0.41,0
NurembergR36_7,6.733,0.271,0.29,0
NurembergR36_8,16.19,0.143,0.12,1
NurembergR36_9,7.148,0.071,0.49,0
NurembergR36_10,14.076,0.192,0.25,1
NYCCOMP_0,16.457,0.008,0.21,1
NYCCOMP_1,1.254,0,0.64,0
NYCCOMP_2,0.529,0.014,0.71,0
NYCCOMP_3,0.587,0.014,0.7,0
NYCCOMP_4,4.616,0.03,0.33,0
NYCCOMP_5,11.726,0.219,0.06,0
NYCCOMP_6,18.707,0.015,0,1
NYCCOMP_7,14.836,0.161,0,1
NYCCOMP_8,11.006,0.127,0,0
NYCCOMP_9,25.369,0.127,0,1
NYCCOMP_10,1.627,0.074,0.67,0
REP05_0,0,0,0.29,0
REP05_1,57.595,0.696,0.03,2
REP05_2,67.426,0.008,0,3
REP05_3,65.076,0.105,0,3
REP05_4,50.525,0.449,0.02,2
REP05_5,32.696,0.349,0,1
REP05_6,59.399,0.084,0,2
REP05_7,64.052,0.216,0,2
REP05_8,66.262,0.174,0,3
REP05_9,61.824,0.023,0,2
REP05_10,61.922,0.047,0,2
WVUCITY_0,62.887,0.15,0,2
WVUCITY_1,2.41,0.044,0.59,0
WVUCITY_2,7.722,0.033,0,0
WVUCITY_3,0.297,0.012,0.63,0
WVUCITY_4,3.978,0,0.25,0
WVUCITY_5,16.013,0.238,0.11,1
WVUCITY_6,19.81,0.051,0.1,1
WVUCITY_7,15.977,0.202,0.15,1
WVUCITY_8,23.53,0.06,0,1
WVUCITY_9,1.832,0.027,0.33,0
WVUCITY_10,3.003,0,0.49,0
WVUINTER_0,0,0,0.23,0
WVUINTER_1,0.346,0.007,0.65,0
WVUINTER_2,6.92,0.164,0.02,0
WVUINTER_3,37.935,0.297,0,2
WVUINTER_4,36.863,0.159,0,2
WVUINTER_5,51.036,0.216,0,2
WVUINTER_6,55.744,0.091,0,2
WVUINTER_7,51.693,0.156,0,2
WVUINTER_8,57.83,0.002,0,2
WVUINTER_9,56.163,0.049,0,2
WVUINTER_10,56.184,0.008,0,2
WVUSUB_0,54.125,0.123,0,2
WVUSUB_1,7.077,0.303,0.59,0
WVUSUB_2,26.545,0.007,0,1
WVUSUB_3,7.643,0.311,0.29,0
WVUSUB_4,3.628,0.068,0.31,0
WVUSUB_5,16.143,0.281,0.07,1
WVUSUB_6,10.139,0.305,0,0
WVUSUB_7,1.984,0.088,0.6,0
WVUSUB_8,20.168,0.229,0,1
WVUSUB_9,28.05,0.197,0.01,1
WVUSUB_10,31.806,0.163,0.05,1
WVUSUB_11,5.184,0.746,0.1,0
VAIL2NREL_0,13.61,0.056,0.27,1
VAIL2NREL_1,59.69,0.584,0,2
VAIL2NREL_2,63.92,0.037,0,2
VAIL2NREL_3,64.75,0.071,0,2
VAIL2NREL_4,64.62,0.003,0,2
VAIL2NREL_5,64.79,0.06,0,2
VAIL2NREL_6,59.54,0.042,0,2
VAIL2NREL_7,63.32,0.006,0,2
VAIL2NREL_8,65.35,0.039,0,3
VAIL2NREL_9,67.87,0.078,0,3
VAIL2NREL_10,63.35,0.082,0,2
VAIL2NREL_11,64.82,0.075,0,2
VAIL2NREL_12,65.21,0.013,0,3
VAIL2NREL_13,60.85,0.6,0,2
VAIL2NREL_14,3.98,0.065,0.12,0
VAIL2NREL_15,9.96,0.168,0.14,0
VAIL2NREL_16,19.35,0.355,0,1
VAIL2NREL_17,62.04,0.143,0,2
VAIL2NREL_18,68.33,0.022,0,3
VAIL2NREL_19,64.85,0,0,2
VAIL2NREL_20,66.22,0.004,0,3
VAIL2NREL_21,66.97,0.011,0,3
VAIL2NREL_22,61.21,0.089,0,2
VAIL2NREL_23,46.03,0.06,0,2
VAIL2NREL_24,61.8,0.033,0,2
VAIL2NREL_25,62.97,0.015,0,2
VAIL2NREL_26,64.45,0.043,0,2
VAIL2NREL_27,57.78,0.131,0,2
VAIL2NREL_28,11.06,0.489,0,0
NYB1,77.56,0.025,0,3
NYB2,89.26,0.014,0,3
NYB3,96.78,0.013,0.13,3
NYB4,98.15,0.131,0.05,3
NYB5,86.12,0.033,0.01,3
NYB6,102.45,0.015,0,3
NYB7,96.12,0.063,0,3
NYB8,100.56,0.115,0,3
NYB9,85.49,0.033,0,3
NYB10,79.45,0.015,0,3
NYB11,78.65,0.023,0.07,3
NYB12,83.19,0.146,0,3
NYB13,98.46,0.042,0,3
NYB14,95.46,0.021,0,3
NYB15,78.16,0.09,0,3
NYB16,89.16,0.127,0,3
NYB17,103.78,0.034,0,3
NYB18,94.26,0.017,0.04,3
NYB19,78.65,0.016,0.05,3
NYB20,88.42,0.128,0.01,3
NYB21,81.95,0.137,0,3
NYB22,72.45,0.04,0,3
NYB23,86.75,0.143,0,3
NYB24,78.26,0.09,0,3
NYB25,95.24,0.134,0.14,3
